"Timestamp","CAF","Ghana","Guinea","Inland_Africa","Inland_Angola","Offshore_Africa","Offshore_Angola","Warri","pc_CAF","pc_Ghana","pc_Guinea","pc_Inland_Africa","pc_Inland_Angola","pc_Offshore_Africa","pc_Offshore_Angola","pc_Warri"
"04/08/2011 18:00 UTC",0.0,0.0,0.0,0.0024269020832847735,7.2865086231979607e-05,7.5649168216464121e-05,0.0013448873360350604,2.5614787088250529e-07,0.0,0.0,0.0,61.901927114839971,1.8585377993675194,1.9295501575801919,34.303451476803929,0.0065334514083606439
"04/08/2011 21:00 UTC",0.0,0.0,0.0,0.0026658139854493891,4.5233954261611474e-05,8.6165086193411064e-05,0.0015993438754411987,6.373768267170779e-07,0.0,0.0,0.0,60.625340087484645,1.0287003802891499,1.9595469461318678,36.371917506132078,0.014495079962261766
"04/08/2011 00:00 UTC",0.0,0.0,0.0,0.0025531048826249307,3.6373867837533504e-05,7.1212759643016956e-05,0.0022001360749150513,0.0,0.0,0.0,0.0,52.524078214433231,0.74830606931267774,1.4650336469960628,45.262582069258016,0.0
"05/08/2011 03:00 UTC",0.0,0.0,0.0,0.0026286741925503091,6.4322363221688741e-05,0.00010556133845175017,0.0020987391126365152,7.1435947060700354e-07,0.0,0.0,0.0,53.668192985829357,1.3132342579652483,2.1551876987747134,42.848800373623739,0.014584683806933148
"05/08/2011 06:00 UTC",0.0,0.0,0.0,0.0024823824198750531,7.5717500412485775e-05,9.7841737610471238e-05,0.0019844747773139636,9.7051933114011851e-07,0.0,0.0,0.0,53.483634184933237,1.6313550486966282,2.1080280219838405,42.756072629788086,0.020910114598183805
"05/08/2011 09:00 UTC",0.0,0.0,0.0,0.0023531631325967692,9.0489417173493186e-05,0.00010118901760894913,0.0016379560975148051,9.5438499205223642e-07,0.0,0.0,0.0,56.245281855573872,2.1628771517651812,2.4186188952498915,39.150410396797049,0.022811700614003307
"05/08/2011 12:00 UTC",0.0,0.0,0.0,0.0022888914125818857,0.00010028974627835766,0.00010401913702158739,0.0011981979514940526,1.9849055245266164e-06,0.0,0.0,0.0,61.97275824969369,2.7153897152425204,2.8163646368479607,32.441745193782808,0.053742204433024292
"05/08/2011 15:00 UTC",0.0,0.0,0.0,0.0023473436499423244,0.00010715741728495955,0.00010790549141868831,0.00095034443280868298,2.2957251229517099e-06,0.0,0.0,0.0,66.779870630789048,3.0485346547340453,3.0698167085457544,27.036466637176794,0.065311368754351048
"05/08/2011 18:00 UTC",0.0,0.0,0.0,0.0025243262985790598,0.00012280924124945022,0.00010513688544411789,0.001049897601526889,1.3584255593139418e-06,0.0,0.0,0.0,66.368014074235475,3.2288240455592683,2.7641934787924418,27.603253523074738,0.035714878338072853
"05/08/2011 21:00 UTC",0.0,0.0,0.0,0.002608668892436025,0.00011744558520719141,0.00013069731152007445,0.0012447995869701467,6.326182899692481e-07,0.0,0.0,0.0,63.591266048100778,2.8629595257338916,3.1859955599360856,30.344357592145379,0.015421274083872873
"05/08/2011 00:00 UTC",0.0,0.0,0.0,0.0024952573425462382,0.00010123352392147668,0.00010786485918923859,0.001741024368301916,6.6236859009230691e-08,0.0,0.0,0.0,56.130636990215521,2.2772409424826332,2.426412359125107,39.164219714729981,0.0014899934467782533
"06/08/2011 03:00 UTC",0.0,0.0,0.0,0.0025688571489808675,0.00014368873928160013,0.00021373957140182745,0.0018122506763376999,1.3617704246189875e-07,0.0,0.0,0.0,54.210483006166186,3.0322573452918156,4.5105370720286437,38.243848838186125,0.0028737383272321908
"06/08/2011 06:00 UTC",0.0,0.0,0.0,0.0024886868605899053,0.00014723869255409299,0.00025007511946426026,0.0019336785214283617,1.055180061126635e-07,0.0,0.0,0.0,51.634813778542068,3.0548811067473989,5.188512234569763,40.119603612104598,0.0021892680361638513
"06/08/2011 09:00 UTC",0.0,0.0,0.0,0.0023615418556286586,0.00015306172780237711,0.00024920222504254332,0.0019107149816734643,2.2878457385008984e-07,0.0,0.0,0.0,50.516970329253517,3.2742230435202662,5.3308144331436615,40.873098144247521,0.0048940498350384786
"06/08/2011 12:00 UTC",0.0,0.0,0.0,0.0023267612212035439,0.00016260240713581226,0.00024089038278020012,0.0018305445513694919,1.101623365705157e-07,0.0,0.0,0.0,51.015298958707078,3.5651317960113129,5.2816313001179456,40.135522585786468,0.0024153593771979649
"06/08/2011 15:00 UTC",0.0,0.0,0.0,0.0022924127341253115,0.00015399118866841872,0.00023118902818857482,0.0017739141527367015,1.6014696918039052e-07,0.0,0.0,0.0,51.495599402020119,3.4591801227868748,5.1933133176751953,39.848309697057225,0.0035974604605866103
"06/08/2011 18:00 UTC",0.0,0.0,0.0,0.0023138019113342172,0.00015599075239054164,0.00022875043218859947,0.0018539174565234684,2.2436614105029416e-08,0.0,0.0,0.0,50.825053424671495,3.4264983035787573,5.0247399658331888,40.723215462469199,0.00049284344738884664
"06/08/2011 21:00 UTC",0.0,0.0,0.0,0.0024786442753219622,0.00015752580070199884,0.00022792074229525299,0.0019212851312234087,3.6952880115991608e-08,0.0,0.0,0.0,51.795828821105161,3.2917911978347223,4.762822915027086,40.148784867669583,0.00077219836343240633
